"","V1","V2"
"3751","bereicherte","0.0718"
"3752","bereicherst","0.0718"
"3753","bereichertet","0.0718"
"3754","bereichertest","0.0718"
"3755","bereichert","0.0718"
"3756","bereicheren","0.0718"
"3757","bereicherten","0.0718"
"3758","bereitere","0.004"
"3759","bereitester","0.004"
"3760","bereitestes","0.004"
"3761","bereite","0.004"
"3762","bereiten","0.004"
"3763","bereitem","0.004"
"3764","bereites","0.004"
"3765","bereiter","0.004"
"3766","bereiterer","0.004"
"3767","bereiteres","0.004"
"3768","bereiteste","0.004"
"3769","bereiteren","0.004"
"3770","bereitestem","0.004"
"3771","bereiterem","0.004"
"3772","bereitest","0.004"
"3773","bereitesten","0.004"
"3774","bereitstelltet","0.004"
"3775","bereitstellest","0.004"
"3776","bereitstell","0.004"
"3777","bereitstelltest","0.004"
"3778","bereitstellten","0.004"
"3779","bereitstellet","0.004"
"3780","bereitstellst","0.004"
"3781","bereitstellte","0.004"
"3782","bereitstellt","0.004"
"3783","bereitgestellt","0.004"
"3784","bereitstelle","0.004"
"3785","beruhigte","0.004"
"3786","beruhigst","0.004"
"3787","beruhig","0.004"
"3788","beruhiget","0.004"
"3789","beruhigtet","0.004"
"3790","beruhigten","0.004"
"3791","beruhigtest","0.004"
"3792","beruhigest","0.004"
"3793","beruhigt","0.004"
"3794","beruhige","0.004"
"3795","berühmtester","0.3267"
"3796","berühmtestes","0.3267"
"3797","berühmtes","0.3267"
"3798","berühmtest","0.3267"
"3799","berühmte","0.3267"
"3800","berühmtem","0.3267"
"3801","berühmten","0.3267"
"3802","berühmteren","0.3267"
"3803","berühmter","0.3267"
"3804","berühmtere","0.3267"
"3805","berühmteres","0.3267"
"3806","berühmterer","0.3267"
"3807","berühmteste","0.3267"
"3808","berühmtesten","0.3267"
"3809","berühmtestem","0.3267"
"3810","berühmterem","0.3267"
"3811","bescheidnere","0.0956"
"3812","bescheidenste","0.0956"
"3813","bescheidensten","0.0956"
"3814","bescheidenstem","0.0956"
"3815","bescheidner","0.0956"
"3816","bescheidenem","0.0956"
"3817","bescheidenst","0.0956"
"3818","bescheidenen","0.0956"
"3819","bescheidene","0.0956"
"3820","bescheideneren","0.0956"
"3821","bescheidneren","0.0956"
"3822","bescheidnerem","0.0956"
"3823","bescheidenerem","0.0956"
"3824","bescheidener","0.0956"
"3825","bescheidenerer","0.0956"
"3826","bescheidneres","0.0956"
"3827","bescheideneres","0.0956"
"3828","bescheidnerer","0.0956"
"3829","bescheidenes","0.0956"
"3830","bescheidenere","0.0956"
"3831","bescheidenster","0.0956"
"3832","bescheidenstes","0.0956"
"3833","beschleunigst","0.004"
"3834","beschleuniget","0.004"
"3835","beschleunigtest","0.004"
"3836","beschleunigte","0.004"
"3837","beschleunigt","0.004"
"3838","beschleunigten","0.004"
"3839","beschleunigtet","0.004"
"3840","beschleunig","0.004"
"3841","beschleunigest","0.004"
"3842","beschleunige","0.004"
"3843","beschwichtigten","0.004"
"3844","beschwichtigest","0.004"
"3845","beschwichtigst","0.004"
"3846","beschwichtiget","0.004"
"3847","beschwichtigte","0.004"
"3848","beschwichtige","0.004"
"3849","beschwichtigtest","0.004"
"3850","beschwichtig","0.004"
"3851","beschwichtigtet","0.004"
"3852","beschwichtigt","0.004"
"3853","besonderester","0.004"
"3854","besonderestes","0.004"
"3855","besonderee","0.004"
"3856","besondereer","0.004"
"3857","besonderees","0.004"
"3858","besondereem","0.004"
"3859","besondereen","0.004"
"3860","besondereere","0.004"
"3861","besondereerem","0.004"
"3862","besondereeren","0.004"
"3863","besonderestem","0.004"
"3864","besonderesten","0.004"
"3865","besondereerer","0.004"
"3866","besonderest","0.004"
"3867","besondereeres","0.004"
"3868","besondereste","0.004"
"3869","besondererer","0.004"
"3870","besondereres","0.004"
"3871","besondereren","0.004"
"3872","besonderersten","0.004"
"3873","besondererem","0.004"
"3874","besondererstem","0.004"
"3875","besondererster","0.004"
"3876","besondererst","0.004"
"3877","besondererste","0.004"
"3878","besondererstes","0.004"
"3879","besonderere","0.004"
"3880","besonderererem","0.004"
"3881","besonderereren","0.004"
"3882","besonderereres","0.004"
"3883","besondererere","0.004"
"3884","besonderererer","0.004"
"3885","besonnenstes","0.004"
"3886","besonnener","0.004"
"3887","besonnenster","0.004"
"3888","besonnenes","0.004"
"3889","besonnenen","0.004"
"3890","besonnensten","0.004"
"3891","besonnenem","0.004"
"3892","besonnenerem","0.004"
"3893","besonneneren","0.004"
"3894","besonnenstem","0.004"
"3895","besonnenere","0.004"
"3896","besonnenste","0.004"
"3897","besonnenst","0.004"
"3898","besonneneres","0.004"
"3899","besonnene","0.004"
"3900","besonnenerer","0.004"
"3901","bessererer","0.004"
"3902","besserere","0.004"
"3903","bessereres","0.004"
"3904","bessere","0.004"
"3905","besserer","0.004"
"3906","besseres","0.004"
"3907","besserem","0.004"
"3908","besseren","0.004"
"3909","bessererem","0.004"
"3910","bessereren","0.004"
"3911","besserste","0.004"
"3912","besserster","0.004"
"3913","besserstes","0.004"
"3914","besserst","0.004"
"3915","besserstem","0.004"
"3916","bessersten","0.004"
"3917","bessert","0.004"
"3918","bessertet","0.004"
"3919","bessere","0.004"
"3920","gebessert","0.004"
"3921","bessertest","0.004"
"3922","besserten","0.004"
"3923","besserte","0.004"
"3924","besserst","0.004"
"3925","besseren","0.004"
"3926","bestmöglichen","0.004"
"3927","bestmöglichst","0.004"
"3928","bestmöglichem","0.004"
"3929","bestmöglichere","0.004"
"3930","bestmöglicheres","0.004"
"3931","bestmöglicherer","0.004"
"3932","bestmögliche","0.004"
"3933","bestmöglicher","0.004"
"3934","bestmöglicheren","0.004"
"3935","bestmöglicherem","0.004"
"3936","bestmögliches","0.004"
"3937","bestmöglichste","0.004"
"3938","bestmöglichstes","0.004"
"3939","bestmöglichster","0.004"
"3940","bestmöglichstem","0.004"
"3941","bestmöglichsten","0.004"
"3942","bestätiget","0.0854"
"3943","bestätigte","0.0854"
"3944","bestätigtest","0.0854"
"3945","bestätigtet","0.0854"
"3946","bestätige","0.0854"
"3947","bestätigt","0.0854"
"3948","bestätigest","0.0854"
"3949","bestätigten","0.0854"
"3950","bestätigst","0.0854"
"3951","bestätig","0.0854"
"3952","beteiligst","0.004"
"3953","beteiliget","0.004"
"3954","beteilig","0.004"
"3955","beteiligten","0.004"
"3956","beteiligte","0.004"
"3957","beteiligtet","0.004"
"3958","beteiligt","0.004"
"3959","beteiligest","0.004"
"3960","beteilige","0.004"
"3961","beteiligtest","0.004"
"3962","beträchtlichstes","0.004"
"3963","beträchtlichster","0.004"
"3964","beträchtlicher","0.004"
"3965","beträchtlicheres","0.004"
"3966","beträchtliches","0.004"
"3967","beträchtlichsten","0.004"
"3968","beträchtlicherer","0.004"
"3969","beträchtlicheren","0.004"
"3970","beträchtlichere","0.004"
"3971","beträchtlichstem","0.004"
"3972","beträchtlichem","0.004"
"3973","beträchtlicherem","0.004"
"3974","beträchtlichen","0.004"
"3975","beträchtliche","0.004"
"3976","beträchtlichst","0.004"
"3977","beträchtlichste","0.004"
"3978","bewirktet","0.004"
"3979","bewirktest","0.004"
"3980","bewirket","0.004"
"3981","bewirkten","0.004"
"3982","bewirkte","0.004"
"3983","bewirkst","0.004"
"3984","bewirk","0.004"
"3985","bewirkest","0.004"
"3986","bewirke","0.004"
"3987","bewirkt","0.004"
"3988","bewunderten","0.004"
"3989","bewundertet","0.004"
"3990","bewundert","0.004"
"3991","bewundere","0.004"
"3992","bewunderte","0.004"
"3993","bewunderen","0.004"
"3994","bewunderst","0.004"
"3995","bewunder","0.004"
"3996","bewundertest","0.004"
"3997","bewundernswertesten","0.0823"
"3998","bewundernswerter","0.0823"
"3999","bewundernswertestem","0.0823"
"4000","bewundernswertes","0.0823"
"4001","bewundernswertem","0.0823"
"4002","bewundernswerten","0.0823"
"4003","bewundernswertest","0.0823"
"4004","bewundernswerterer","0.0823"
"4005","bewundernswertestes","0.0823"
"4006","bewundernswertester","0.0823"
"4007","bewundernswerteres","0.0823"
"4008","bewundernswertere","0.0823"
"4009","bewundernswerteste","0.0823"
"4010","bewundernswerteren","0.0823"
"4011","bewundernswerte","0.0823"
"4012","bewundernswerterem","0.0823"
"4013","bewährteren","0.465"
"4014","bewährtes","0.465"
"4015","bewährterer","0.465"
"4016","bewährtestes","0.465"
"4017","bewährteres","0.465"
"4018","bewährtester","0.465"
"4019","bewährten","0.465"
"4020","bewährtem","0.465"
"4021","bewährtesten","0.465"
"4022","bewährtestem","0.465"
"4023","bewährter","0.465"
"4024","bewährteste","0.465"
"4025","bewährtere","0.465"
"4026","bewährte","0.465"
"4027","bewährtest","0.465"
"4028","bewährterem","0.465"
"4029","bezauberndst","0.3081"
"4030","bezauberndere","0.3081"
"4031","bezaubernderem","0.3081"
"4032","bezaubernde","0.3081"
"4033","bezauberndste","0.3081"
"4034","bezauberndstes","0.3081"
"4035","bezauberndster","0.3081"
"4036","bezaubernder","0.3081"
"4037","bezauberndem","0.3081"
"4038","bezaubernden","0.3081"
"4039","bezaubernderen","0.3081"
"4040","bezauberndstem","0.3081"
"4041","bezaubernderer","0.3081"
"4042","bezauberndsten","0.3081"
"4043","bezaubernderes","0.3081"
"4044","bezauberndes","0.3081"
"4045","blendender","0.3096"
"4046","blendendem","0.3096"
"4047","blendenden","0.3096"
"4048","blendendste","0.3096"
"4049","blendendst","0.3096"
"4050","blendenderer","0.3096"
"4051","blendenderes","0.3096"
"4052","blendenderen","0.3096"
"4053","blendendes","0.3096"
"4054","blendenderem","0.3096"
"4055","blendendstes","0.3096"
"4056","blendendster","0.3096"
"4057","blendendere","0.3096"
"4058","blendendstem","0.3096"
"4059","blendende","0.3096"
"4060","blendendsten","0.3096"
"4061","blüh","0.2028"
"4062","blühtet","0.2028"
"4063","blühst","0.2028"
"4064","blühte","0.2028"
"4065","geblüht","0.2028"
"4066","blühten","0.2028"
"4067","blühest","0.2028"
"4068","blühet","0.2028"
"4069","blüht","0.2028"
"4070","blühe","0.2028"
"4071","blühtest","0.2028"
"4072","bombastischster","0.2053"
"4073","bombastischstes","0.2053"
"4074","bombastischsten","0.2053"
"4075","bombastischeren","0.2053"
"4076","bombastischerem","0.2053"
"4077","bombastischste","0.2053"
"4078","bombastischstem","0.2053"
"4079","bombastischerer","0.2053"
"4080","bombastische","0.2053"
"4081","bombastischeres","0.2053"
"4082","bombastischem","0.2053"
"4083","bombastischere","0.2053"
"4084","bombastisches","0.2053"
"4085","bombastischer","0.2053"
"4086","bombastischst","0.2053"
"4087","bombastischen","0.2053"
"4088","bombigstem","0.0837"
"4089","bombigeren","0.0837"
"4090","bombigerem","0.0837"
"4091","bombigsten","0.0837"
"4092","bombigstes","0.0837"
"4093","bombigster","0.0837"
"4094","bombiger","0.0837"
"4095","bombiges","0.0837"
"4096","bombige","0.0837"
"4097","bombigen","0.0837"
"4098","bombigeres","0.0837"
"4099","bombigst","0.0837"
"4100","bombigem","0.0837"
"4101","bombigerer","0.0837"
"4102","bombigste","0.0837"
"4103","bombigere","0.0837"
"4104","brandneuen","0.004"
"4105","brandneuer","0.004"
"4106","brandneues","0.004"
"4107","brandneusten","0.004"
"4108","brandneust","0.004"
"4109","brandneustem","0.004"
"4110","brandneuerem","0.004"
"4111","brandneustes","0.004"
"4112","brandneueren","0.004"
"4113","brandneuster","0.004"
"4114","brandneuerer","0.004"
"4115","brandneuste","0.004"
"4116","brandneueres","0.004"
"4117","brandneuere","0.004"
"4118","brandneuem","0.004"
"4119","brandneue","0.004"
"4120","bravourösem","0.004"
"4121","bravourösen","0.004"
"4122","bravouröseste","0.004"
"4123","bravourösester","0.004"
"4124","bravourösere","0.004"
"4125","bravouröseres","0.004"
"4126","bravouröserer","0.004"
"4127","bravourösesten","0.004"
"4128","bravouröserem","0.004"
"4129","bravourösestem","0.004"
"4130","bravouröseren","0.004"
"4131","bravourösestes","0.004"
"4132","bravourösest","0.004"
"4133","bravouröse","0.004"
"4134","bravouröses","0.004"
"4135","bravouröser","0.004"
"4136","breitgefächertster","0.004"
"4137","breitgefächertstes","0.004"
"4138","breitgefächerteren","0.004"
"4139","breitgefächertsten","0.004"
"4140","breitgefächertem","0.004"
"4141","breitgefächerten","0.004"
"4142","breitgefächerterem","0.004"
"4143","breitgefächerter","0.004"
"4144","breitgefächertere","0.004"
"4145","breitgefächertstem","0.004"
"4146","breitgefächerteres","0.004"
"4147","breitgefächerterer","0.004"
"4148","breitgefächertste","0.004"
"4149","breitgefächertes","0.004"
"4150","breitgefächerte","0.004"
"4151","breitgefächertst","0.004"
"4152","brillantesten","0.3064"
"4153","brillanten","0.3064"
"4154","brillantem","0.3064"
"4155","brillanteren","0.3064"
"4156","brillantestem","0.3064"
"4157","brillanterem","0.3064"
"4158","brillantestes","0.3064"
"4159","brillantester","0.3064"
"4160","brillantes","0.3064"
"4161","brillantest","0.3064"
"4162","brillante","0.3064"
"4163","brillanter","0.3064"
"4164","brillanteres","0.3064"
"4165","brillanterer","0.3064"
"4166","brillanteste","0.3064"
"4167","brillantere","0.3064"
"4168","brüderliche","0.004"
"4169","brüderlichste","0.004"
"4170","brüderlichstes","0.004"
"4171","brüderlicheres","0.004"
"4172","brüderlicherer","0.004"
"4173","brüderlichster","0.004"
"4174","brüderlichen","0.004"
"4175","brüderliches","0.004"
"4176","brüderlichstem","0.004"
"4177","brüderlichsten","0.004"
"4178","brüderlicher","0.004"
"4179","brüderlichst","0.004"
"4180","brüderlicherem","0.004"
"4181","brüderlichem","0.004"
"4182","brüderlicheren","0.004"
"4183","brüderlichere","0.004"
"4184","buntester","0.3507"
"4185","buntestes","0.3507"
"4186","bunterer","0.3507"
"4187","bunteres","0.3507"
"4188","buntesten","0.3507"
"4189","buntest","0.3507"
"4190","buntestem","0.3507"
"4191","buntere","0.3507"
"4192","bunte","0.3507"
"4193","bunteste","0.3507"
"4194","bunter","0.3507"
"4195","buntes","0.3507"
"4196","buntem","0.3507"
"4197","bunten","0.3507"
"4198","bunteren","0.3507"
"4199","bunterem","0.3507"
"4200","bärenstarkst","0.004"
"4201","bärenstarkster","0.004"
"4202","bärenstarkere","0.004"
"4203","bärenstarkstes","0.004"
"4204","bärenstarksten","0.004"
"4205","bärenstarke","0.004"
"4206","bärenstarkstem","0.004"
"4207","bärenstarker","0.004"
"4208","bärenstarkeres","0.004"
"4209","bärenstarkes","0.004"
"4210","bärenstarkerer","0.004"
"4211","bärenstarkem","0.004"
"4212","bärenstarken","0.004"
"4213","bärenstarkste","0.004"
"4214","bärenstarkerem","0.004"
"4215","bärenstarkeren","0.004"
"4216","charismatischerer","0.004"
"4217","charismatischeres","0.004"
"4218","charismatischste","0.004"
"4219","charismatischeren","0.004"
"4220","charismatischerem","0.004"
"4221","charismatischst","0.004"
"4222","charismatische","0.004"
"4223","charismatischere","0.004"
"4224","charismatischem","0.004"
"4225","charismatischstem","0.004"
"4226","charismatischsten","0.004"
"4227","charismatischen","0.004"
"4228","charismatisches","0.004"
"4229","charismatischster","0.004"
"4230","charismatischer","0.004"
"4231","charismatischstes","0.004"
"4232","charmante","0.3223"
"4233","charmantere","0.3223"
"4234","charmanteren","0.3223"
"4235","charmanterem","0.3223"
"4236","charmantester","0.3223"
"4237","charmantestes","0.3223"
"4238","charmantest","0.3223"
"4239","charmanten","0.3223"
"4240","charmantem","0.3223"
"4241","charmanteres","0.3223"
"4242","charmanterer","0.3223"
"4243","charmantes","0.3223"
"4244","charmanteste","0.3223"
"4245","charmanter","0.3223"
"4246","charmantestem","0.3223"
"4247","charmantesten","0.3223"
"4248","chicster","0.0787"
"4249","chicstes","0.0787"
"4250","chicstem","0.0787"
"4251","chicsten","0.0787"
"4252","chicere","0.0787"
"4253","chicste","0.0787"
"4254","chicst","0.0787"
"4255","chicem","0.0787"
"4256","chiceren","0.0787"
"4257","chicerem","0.0787"
"4258","chicerer","0.0787"
"4259","chice","0.0787"
"4260","chices","0.0787"
"4261","chicer","0.0787"
"4262","chiceres","0.0787"
"4263","chicen","0.0787"
"4264","cleverem","0.2243"
"4265","clevererem","0.2243"
"4266","clevereren","0.2243"
"4267","clevere","0.2243"
"4268","clevrerer","0.2243"
"4269","clevreres","0.2243"
"4270","clevrerem","0.2243"
"4271","clevrer","0.2243"
"4272","clevrere","0.2243"
"4273","cleversten","0.2243"
"4274","cleverste","0.2243"
"4275","clevreren","0.2243"
"4276","cleverstem","0.2243"
"4277","cleverstes","0.2243"
"4278","cleverere","0.2243"
"4279","cleverster","0.2243"
"4280","clevererer","0.2243"
"4281","cleverst","0.2243"
"4282","cleveren","0.2243"
"4283","clevereres","0.2243"
"4284","cleveres","0.2243"
"4285","cleverer","0.2243"
"4286","coolsten","0.004"
"4287","coolstem","0.004"
"4288","coolst","0.004"
"4289","coolster","0.004"
"4290","coolstes","0.004"
"4291","coolerem","0.004"
"4292","cooleren","0.004"
"4293","cooler","0.004"
"4294","cooles","0.004"
"4295","coolerer","0.004"
"4296","coolste","0.004"
"4297","coole","0.004"
"4298","coolen","0.004"
"4299","cooleres","0.004"
"4300","coolem","0.004"
"4301","coolere","0.004"
"4302","dankbares","0.0854"
"4303","dankbarer","0.0854"
"4304","dankbarst","0.0854"
"4305","dankbarerer","0.0854"
"4306","dankbaren","0.0854"
"4307","dankbareres","0.0854"
"4308","dankbarem","0.0854"
"4309","dankbarere","0.0854"
"4310","dankbarstem","0.0854"
"4311","dankbarsten","0.0854"
"4312","dankbarste","0.0854"
"4313","dankbarster","0.0854"
"4314","dankbarstes","0.0854"
"4315","dankbare","0.0854"
"4316","dankbarerem","0.0854"
"4317","dankbareren","0.0854"
"4318","dankte","0.191"
"4319","danktet","0.191"
"4320","danktest","0.191"
"4321","dankst","0.191"
"4322","dankest","0.191"
"4323","dankt","0.191"
"4324","danke","0.191"
"4325","gedankt","0.191"
"4326","dankten","0.191"
"4327","danket","0.191"
"4328","dank","0.191"
"4329","dauerhaften","0.205"
"4330","dauerhaftem","0.205"
"4331","dauerhaftere","0.205"
"4332","dauerhafteste","0.205"
"4333","dauerhafteren","0.205"
"4334","dauerhafterem","0.205"
"4335","dauerhafte","0.205"
"4336","dauerhafter","0.205"
"4337","dauerhafteres","0.205"
"4338","dauerhafterer","0.205"
"4339","dauerhaftes","0.205"
"4340","dauerhaftest","0.205"
"4341","dauerhaftestes","0.205"
"4342","dauerhaftester","0.205"
"4343","dauerhaftestem","0.205"
"4344","dauerhaftesten","0.205"
"4345","denkwürdigere","0.004"
"4346","denkwürdigstes","0.004"
"4347","denkwürdige","0.004"
"4348","denkwürdiges","0.004"
"4349","denkwürdigster","0.004"
"4350","denkwürdiger","0.004"
"4351","denkwürdigen","0.004"
"4352","denkwürdigem","0.004"
"4353","denkwürdigeren","0.004"
"4354","denkwürdigerem","0.004"
"4355","denkwürdigste","0.004"
"4356","denkwürdigerer","0.004"
"4357","denkwürdigst","0.004"
"4358","denkwürdigstem","0.004"
"4359","denkwürdigsten","0.004"
"4360","denkwürdigeres","0.004"
"4361","detailliertest","0.004"
"4362","detaillierterer","0.004"
"4363","detaillierteres","0.004"
"4364","detaillierte","0.004"
"4365","detailliertesten","0.004"
"4366","detailliertestem","0.004"
"4367","detailliertere","0.004"
"4368","detaillierteren","0.004"
"4369","detaillierterem","0.004"
"4370","detaillierter","0.004"
"4371","detailliertes","0.004"
"4372","detailliertestes","0.004"
"4373","detaillierteste","0.004"
"4374","detailliertester","0.004"
"4375","detailliertem","0.004"
"4376","detaillierten","0.004"
"4377","dienlichst","0.004"
"4378","dienlichsten","0.004"
"4379","dienlichstem","0.004"
"4380","dienlichere","0.004"
"4381","dienlichstes","0.004"
"4382","dienlichster","0.004"
"4383","dienlichem","0.004"
"4384","dienlichste","0.004"
"4385","dienlichen","0.004"
"4386","dienliche","0.004"
"4387","dienlicherer","0.004"
"4388","dienlicher","0.004"
"4389","dienlicheres","0.004"
"4390","dienliches","0.004"
"4391","dienlicheren","0.004"
"4392","dienlicherem","0.004"
"4393","diplomatischem","0.004"
"4394","diplomatischste","0.004"
"4395","diplomatischen","0.004"
"4396","diplomatische","0.004"
"4397","diplomatisches","0.004"
"4398","diplomatischer","0.004"
"4399","diplomatischstem","0.004"
"4400","diplomatischsten","0.004"
"4401","diplomatischst","0.004"
"4402","diplomatischster","0.004"
"4403","diplomatischstes","0.004"
"4404","diplomatischeres","0.004"
"4405","diplomatischere","0.004"
"4406","diplomatischerer","0.004"
"4407","diplomatischerem","0.004"
"4408","diplomatischeren","0.004"
"4409","diskretem","0.004"
"4410","diskretester","0.004"
"4411","diskreten","0.004"
"4412","diskrete","0.004"
"4413","diskretestem","0.004"
"4414","diskretesten","0.004"
"4415","diskreteste","0.004"
"4416","diskretere","0.004"
"4417","diskreteren","0.004"
"4418","diskreterem","0.004"
"4419","diskretest","0.004"
"4420","diskreteres","0.004"
"4421","diskretestes","0.004"
"4422","diskreterer","0.004"
"4423","diskretes","0.004"
"4424","diskreter","0.004"
"4425","diszipliniertester","0.004"
"4426","disziplinierterem","0.004"
"4427","disziplinierteren","0.004"
"4428","diszipliniertesten","0.004"
"4429","disziplinierteste","0.004"
"4430","diszipliniertestem","0.004"
"4431","disziplinierteres","0.004"
"4432","disziplinierterer","0.004"
"4433","diszipliniertest","0.004"
"4434","diszipliniertestes","0.004"
"4435","disziplinierte","0.004"
"4436","diszipliniertes","0.004"
"4437","disziplinierter","0.004"
"4438","disziplinierten","0.004"
"4439","diszipliniertere","0.004"
"4440","diszipliniertem","0.004"
"4441","duftester","0.1958"
"4442","duftest","0.1958"
"4443","duftestes","0.1958"
"4444","dufteres","0.1958"
"4445","duftesten","0.1958"
"4446","dufterer","0.1958"
"4447","dufterem","0.1958"
"4448","dufteren","0.1958"
"4449","duftes","0.1958"
"4450","dufter","0.1958"
"4451","duften","0.1958"
"4452","duftem","0.1958"
"4453","duftestem","0.1958"
"4454","duftere","0.1958"
"4455","dufteste","0.1958"
"4456","duftest","0.2132"
"4457","dufte","0.2132"
"4458","duft","0.2132"
"4459","dufttet","0.2132"
"4460","geduftet","0.2132"
"4461","dufttest","0.2132"
"4462","dufteten","0.2132"
"4463","duftete","0.2132"
"4464","duftet","0.2132"
"4465","duftte","0.2132"
"4466","duftetet","0.2132"
"4467","duftetest","0.2132"
"4468","duftten","0.2132"
"4469","durchdachteren","0.2131"
"4470","durchdachterem","0.2131"
"4471","durchdachterer","0.2131"
"4472","durchdachteres","0.2131"
"4473","durchdachtestes","0.2131"
"4474","durchdachtester","0.2131"
"4475","durchdachtest","0.2131"
"4476","durchdachtesten","0.2131"
"4477","durchdachte","0.2131"
"4478","durchdachtestem","0.2131"
"4479","durchdachtem","0.2131"
"4480","durchdachten","0.2131"
"4481","durchdachtere","0.2131"
"4482","durchdachtes","0.2131"
"4483","durchdachteste","0.2131"
"4484","durchdachter","0.2131"
"4485","durchschlagenderen","0.004"
"4486","durchschlagenderem","0.004"
"4487","durchschlagendem","0.004"
"4488","durchschlagende","0.004"
"4489","durchschlagendere","0.004"
"4490","durchschlagenderer","0.004"
"4491","durchschlagenden","0.004"
"4492","durchschlagenderes","0.004"
"4493","durchschlagendes","0.004"
"4494","durchschlagender","0.004"
"4495","durchschlagendst","0.004"
"4496","durchschlagendstem","0.004"
"4497","durchschlagendsten","0.004"
"4498","durchschlagendstes","0.004"
"4499","durchschlagendste","0.004"
"4500","durchschlagendster","0.004"
"4501","dynamischster","0.004"
"4502","dynamischstes","0.004"
"4503","dynamischen","0.004"
"4504","dynamischem","0.004"
"4505","dynamischst","0.004"
"4506","dynamischere","0.004"
"4507","dynamischerer","0.004"
"4508","dynamischeres","0.004"
"4509","dynamischeren","0.004"
"4510","dynamischerem","0.004"
"4511","dynamisches","0.004"
"4512","dynamischsten","0.004"
"4513","dynamischstem","0.004"
"4514","dynamische","0.004"
"4515","dynamischer","0.004"
"4516","dynamischste","0.004"
"4517","edles","0.2235"
"4518","edler","0.2235"
"4519","edelst","0.2235"
"4520","edelsten","0.2235"
"4521","edlem","0.2235"
"4522","edelstes","0.2235"
"4523","edelster","0.2235"
"4524","edlen","0.2235"
"4525","edelste","0.2235"
"4526","edlerer","0.2235"
"4527","edlere","0.2235"
"4528","edelstem","0.2235"
"4529","edleren","0.2235"
"4530","edlerem","0.2235"
"4531","edleres","0.2235"
"4532","edle","0.2235"
"4533","effektivem","0.0971"
"4534","effektiverem","0.0971"
"4535","effektivst","0.0971"
"4536","effektiven","0.0971"
"4537","effektiveren","0.0971"
"4538","effektivstem","0.0971"
"4539","effektivste","0.0971"
"4540","effektivere","0.0971"
"4541","effektiverer","0.0971"
"4542","effektive","0.0971"
"4543","effektiveres","0.0971"
"4544","effektivstes","0.0971"
"4545","effektivster","0.0971"
"4546","effektives","0.0971"
"4547","effektiver","0.0971"
"4548","effektivsten","0.0971"
"4549","effektvollere","0.004"
"4550","effektvollerer","0.004"
"4551","effektvolleres","0.004"
"4552","effektvolle","0.004"
"4553","effektvolleren","0.004"
"4554","effektvoller","0.004"
"4555","effektvollerem","0.004"
"4556","effektvollster","0.004"
"4557","effektvollstes","0.004"
"4558","effektvollem","0.004"
"4559","effektvollen","0.004"
"4560","effektvollste","0.004"
"4561","effektvollstem","0.004"
"4562","effektvollsten","0.004"
"4563","effektvolles","0.004"
"4564","effektvollst","0.004"
"4565","effiziente","0.004"
"4566","effizientere","0.004"
"4567","effizientestem","0.004"
"4568","effizientesten","0.004"
"4569","effizientester","0.004"
"4570","effizientestes","0.004"
"4571","effizienteres","0.004"
"4572","effizientest","0.004"
"4573","effizienterer","0.004"
"4574","effizienteren","0.004"
"4575","effizienterem","0.004"
"4576","effizienteste","0.004"
"4577","effizientem","0.004"
"4578","effizienten","0.004"
"4579","effizientes","0.004"
"4580","effizienter","0.004"
"4581","ehret","0.0612"
"4582","ehrest","0.0612"
"4583","ehrt","0.0612"
"4584","ehre","0.0612"
"4585","ehr","0.0612"
"4586","ehrtest","0.0612"
"4587","ehrten","0.0612"
"4588","ehrst","0.0612"
"4589","ehrte","0.0612"
"4590","ehrtet","0.0612"
"4591","geehrt","0.0612"
"4592","ehrenwertere","0.004"
"4593","ehrenwerteres","0.004"
"4594","ehrenwerterer","0.004"
"4595","ehrenwerteste","0.004"
"4596","ehrenwertest","0.004"
"4597","ehrenwerte","0.004"
"4598","ehrenwertesten","0.004"
"4599","ehrenwertestem","0.004"
"4600","ehrenwertem","0.004"
"4601","ehrenwerten","0.004"
"4602","ehrenwertester","0.004"
"4603","ehrenwerteren","0.004"
"4604","ehrenwertestes","0.004"
"4605","ehrenwerter","0.004"
"4606","ehrenwertes","0.004"
"4607","ehrenwerterem","0.004"
"4608","ehrfürchtigstes","0.004"
"4609","ehrfürchtigster","0.004"
"4610","ehrfürchtigstem","0.004"
"4611","ehrfürchtigsten","0.004"
"4612","ehrfürchtigst","0.004"
"4613","ehrfürchtigere","0.004"
"4614","ehrfürchtigeren","0.004"
"4615","ehrfürchtigerem","0.004"
"4616","ehrfürchtigeres","0.004"
"4617","ehrfürchtigerer","0.004"
"4618","ehrfürchtiges","0.004"
"4619","ehrfürchtiger","0.004"
"4620","ehrfürchtigste","0.004"
"4621","ehrfürchtige","0.004"
"4622","ehrfürchtigen","0.004"
"4623","ehrfürchtigem","0.004"
"4624","ehrgeizigster","0.2076"
"4625","ehrgeizigerer","0.2076"
"4626","ehrgeizigstes","0.2076"
"4627","ehrgeiziger","0.2076"
"4628","ehrgeizigeres","0.2076"
"4629","ehrgeiziges","0.2076"
"4630","ehrgeizigst","0.2076"
"4631","ehrgeizigeren","0.2076"
"4632","ehrgeizigere","0.2076"
"4633","ehrgeizigerem","0.2076"
"4634","ehrgeizigsten","0.2076"
"4635","ehrgeizige","0.2076"
"4636","ehrgeizigem","0.2076"
"4637","ehrgeizigste","0.2076"
"4638","ehrgeizigen","0.2076"
